Entity,Code,Year,Time spent with other people throughout life - Alone,Time spent with other people throughout life - Friend,Time spent with other people throughout life - Children,Time spent with other people throughout life - Family,Time spent with other people throughout life - Partner,Time spent with other people throughout life - Co-worker
All people,,15,3.6298292,1.5849737,0.3638834,4.3242335,0,0.16509315
All people,,16,3.8731666,1.5342971,0.39559948,4.116544,0.0017322431,0.39833188
All people,,17,4.005001,1.8399414,0.4011328,3.7131433,0.016009701,0.7542929
All people,,18,4.3451796,2.0433443,0.48958424,3.8048632,0.10113275,1.3610882
All people,,19,5.0910225,1.8550588,0.46235117,2.9506717,0.3049716,2.0948663
All people,,20,5.0286283,1.8233132,0.74382305,2.9481745,0.38664412,2.3292847
All people,,21,4.969466,1.8535706,1.0172919,2.5243587,0.86417514,2.432969
All people,,22,5.2795258,1.481358,1.0164442,2.27792,0.81436557,2.7151678
All people,,23,4.8180656,1.5505213,1.4659724,2.0676358,1.3460319,3.164406
All people,,24,4.836004,1.4652464,1.4782037,1.8410336,1.6089003,3.256154
All people,,25,5.0680943,1.1143253,1.7584212,1.5955848,1.9545946,3.1255138
All people,,26,5.0404487,1.1769685,1.8549182,1.4147902,2.3045778,3.2146442
All people,,27,4.7678685,1.0891538,2.361431,1.3732631,2.5897603,3.2488308
All people,,28,4.7782054,0.97290105,2.787112,1.2226641,2.7698324,3.2466478
All people,,29,4.758594,0.89508873,2.9611726,1.3215789,2.8728702,3.1400917
All people,,30,4.669076,0.7775076,3.1274734,1.0750387,3.0035253,3.3644574
All people,,31,4.699287,0.77420336,3.5743172,1.1238853,3.42172,2.961538
All people,,32,4.6736774,0.7143404,3.6696613,1.0040898,3.3024943,3.1670299
All people,,33,4.4386973,0.74591976,4.2269554,0.99557614,3.3830829,2.8660433
All people,,34,4.6476307,0.60182637,4.2206087,1.0541801,3.3831902,2.8915737
All people,,35,4.688648,0.60739136,4.202645,0.9305095,3.405099,2.9502814
All people,,36,4.8671107,0.6061422,4.183612,0.9920474,3.2017047,2.805493
All people,,37,4.7512326,0.65916455,4.110113,0.9458152,3.410114,2.935998
All people,,38,4.767395,0.6032187,4.185453,0.93619335,3.3166397,3.0175295
All people,,39,4.9584947,0.49104184,4.32416,0.90444314,3.605871,2.7374454
All people,,40,5.0740657,0.5180474,3.9253144,0.80280143,3.331442,2.9201047
All people,,41,5.166913,0.54616845,4.039382,0.9149081,3.3118677,2.8088353
All people,,42,5.247589,0.6010912,3.6708107,0.7840399,3.1685166,2.9771297
All people,,43,5.5686536,0.6139368,3.5566463,0.8658166,3.1687732,2.6630974
All people,,44,5.4912815,0.56442976,3.5318751,0.8826157,3.2709227,2.7534525
All people,,45,5.433181,0.5439117,3.4288182,0.9285259,3.0779836,2.8972993
All people,,46,5.8415823,0.55800784,3.017115,0.8925421,3.2106538,2.6746862
All people,,47,6.0316224,0.56656975,2.82637,0.9083591,2.9244745,2.7187698
All people,,48,5.8100615,0.46375874,2.5638425,0.91613334,3.2785504,2.7532284
All people,,49,5.934351,0.56886566,2.3575034,0.92955095,3.1516557,2.9244716
All people,,50,6.4164543,0.4347758,2.2041621,1.0322596,2.8982227,2.6209476
All people,,51,6.3272247,0.5429126,2.0466034,1.0111418,3.1158695,2.704168
All people,,52,6.5108914,0.4934426,1.7510698,1.0769285,3.1968045,2.755771
All people,,53,6.5952015,0.47755057,1.7058303,0.93304485,3.0423758,2.6279163
All people,,54,6.511518,0.5237667,1.479706,0.95819265,2.9753935,2.8470879
All people,,55,6.6841364,0.5143855,1.4611981,1.0408671,3.1225529,2.429713
All people,,56,6.5849357,0.5714012,1.3023612,1.0673556,3.328167,2.4634511
All people,,57,6.866834,0.47245225,1.2711806,0.97034293,3.0973008,2.5231779
All people,,58,7.0307627,0.54479134,1.1009537,1.1284827,2.9755197,2.2483537
All people,,59,7.095502,0.434075,1.147306,1.0680943,3.3443484,2.234435
All people,,60,7.166803,0.5496733,1.0550772,1.0732703,3.3245907,2.0321357
All people,,61,6.9854507,0.46798408,1.1210256,0.98752433,3.5096352,2.0829098
All people,,62,7.300049,0.47708133,1.0014722,0.9431905,3.7453833,1.4910113
All people,,63,7.445566,0.51248026,0.95390844,1.0820043,3.7096887,1.3520316
All people,,64,7.548167,0.52374333,0.9254821,0.9729939,3.7670317,1.349398
All people,,65,7.6204453,0.51717997,0.9229287,1.0937687,3.9402766,0.9917301
All people,,66,7.462613,0.5733853,0.94937116,1.1349244,4.1687865,0.81626093
All people,,67,7.453226,0.56253725,0.9319766,0.9216169,4.302752,0.6486655
All people,,68,7.5536385,0.6190246,0.90668756,0.9195717,4.2114944,0.6370469
All people,,69,7.513446,0.59443,1.0414956,0.97823685,4.493935,0.44729364
All people,,70,7.615249,0.67484087,0.878375,0.90723,4.216253,0.4724947
All people,,71,7.527521,0.6114651,0.9569795,0.93269193,4.521779,0.3297875
All people,,72,8.0646305,0.6099225,0.744762,0.8871422,4.234651,0.31120875
All people,,73,7.8208566,0.5127269,0.8934505,0.8610447,4.412884,0.30653647
All people,,74,7.86952,0.5343475,0.80549276,0.9157629,4.227383,0.22381546
All people,,75,7.7515106,0.58146286,0.8565386,0.87676597,4.2603216,0.26794198
All people,,76,7.6355085,0.55683833,0.7260935,0.796384,4.6144943,0.24474744
All people,,77,7.6824446,0.49672818,0.7311131,1.0452228,4.4486337,0.17342147
All people,,78,7.7327514,0.58998686,0.7254078,0.9352343,4.4161386,0.05577581
All people,,79,7.9256773,0.62488323,0.6095622,0.8116441,4.173294,0.10213293
All people,,80,7.961765,0.533332,0.7263204,0.98011315,3.8571093,0.10747681
